MODALIDAD,DELITO HOMOL
H. POR ARMA DE FUEGO,HOMICIDIO DOLOSO
H. POR GOLPES,HOMICIDIO DOLOSO
H. POR ARMA BLANCA,HOMICIDIO DOLOSO
OTROS HOMICIDIOS INTENCIONALES,HOMICIDIO DOLOSO
HOMICIDIO POR ARMA DE FUEGO,HOMICIDIO DOLOSO
HOMICIDIOS INTENCIONALES (OTROS),HOMICIDIO DOLOSO
HOMICIDIO POR ARMA BLANCA,HOMICIDIO DOLOSO
HOMICIDIO POR GOLPES,HOMICIDIO DOLOSO
HOMICIDIO POR AHORCAMIENTO,HOMICIDIO DOLOSO
FEMINICIDIO,HOMICIDIO DOLOSO
FEMENICIDIO,HOMICIDIO DOLOSO
HOMICIDIO DOLOSO OTRAS CAUSAS,HOMICIDIO DOLOSO
HOMICIDIO POR DISPARO DE ARMA DE FUEGO,HOMICIDIO DOLOSO
LESIONES INT. ARMA DE FUEGO,LESIONES DOLOSAS POR ARMA DE FUEGO
LESIONES INTENCIONALES POR ARMA DE FUEGO,LESIONES DOLOSAS POR ARMA DE FUEGO
LESIONES DOLOSAS POR DISPARO DE ARMA DE FUEGO,LESIONES DOLOSAS POR ARMA DE FUEGO
LESIONES DOLOSAS POR ARMA DE FUEGO,LESIONES DOLOSAS POR ARMA DE FUEGO
C/V. CASA HABITACION,ROBO A CASA HABITACIÓN CON VIOLENCIA
ROBO A CASA HAB. Y AUTO C/V,ROBO A CASA HABITACIÓN CON VIOLENCIA
ROBO A CASA HABITACION CON VIOLENCIA,ROBO A CASA HABITACIÓN CON VIOLENCIA
ROBO A CASA HABITACION Y VEHICULO CON VIOLENCIA,ROBO A CASA HABITACIÓN CON VIOLENCIA
ROBO A CASA HABITACION SIN VIOLENCIA,ROBO A CASA HABITACIÓN SIN VIOLENCIA
ROBO A CASA HABITACION Y VEHICULO SIN VIOLENCIA,ROBO A CASA HABITACIÓN SIN VIOLENCIA
ROBO A CASA HAB. Y AUTO S/V,ROBO A CASA HABITACIÓN SIN VIOLENCIA
S/V. A CASA HABITACION,ROBO A CASA HABITACIÓN SIN VIOLENCIA
ROBO A PASAJERO / CONDUCTOR DE VEHICULO CON VIOLENCIA,ROBO A CONDUCTOR/PASAJERO DE VEHÍCULO CON VIOLENCIA
ROBO A PASAJERO / CONDUCTOR DE TAXI CON VIOLENCIA,ROBO A CONDUCTOR/PASAJERO DE VEHÍCULO CON VIOLENCIA
TRANSEUNTE / CONDUCTOR DE VEHICULO C/V,ROBO A CONDUCTOR/PASAJERO DE VEHÍCULO CON VIOLENCIA
